Chemical,Label
NCGC00261900-01,0.000273
NCGC00260869-01,0.066838
NCGC00261776-01,0.500000
NCGC00261842-01,0.000061
NCGC00261662-01,0.500000
NCGC00261926-01,0.222482
NCGC00260921-01,0.257367
NCGC00261119-01,0.500000
NCGC00260831-01,0.500000
NCGC00261544-01,0.004676
NCGC00261633-01,0.000482
NCGC00261395-01,0.377724
NCGC00261717-01,0.000003
NCGC00261424-01,0.001355
NCGC00261861-01,0.016016
NCGC00261924-01,0.028585
NCGC00261052-01,0.338081
NCGC00261683-01,0.162580
NCGC00261026-01,0.066637
NCGC00261057-01,0.019837
NCGC00261738-01,0.032411
NCGC00261348-01,0.000404
NCGC00261503-01,0.000433
NCGC00260693-01,0.000143
NCGC00260703-01,0.000431
NCGC00260716-01,0.000195
NCGC00260782-01,0.000035
NCGC00260802-01,0.000065
NCGC00260823-01,0.001858
NCGC00261313-01,0.000286
NCGC00260757-01,0.002026
NCGC00260826-01,0.001915
NCGC00261005-01,0.000996
NCGC00260980-01,0.032664
NCGC00261816-01,0.016514
NCGC00260698-01,0.009715
NCGC00260889-01,0.090841
NCGC00260811-01,0.006204
NCGC00261165-01,0.001310
NCGC00261060-01,0.000080
NCGC00261541-01,0.001478
NCGC00261649-01,0.000614
NCGC00261110-01,0.115757
NCGC00261130-01,0.168938
NCGC00260846-01,0.054176
NCGC00261030-01,0.308229
NCGC00261162-01,0.252926
NCGC00261058-01,0.262879
NCGC00261404-01,0.014308
NCGC00261423-01,0.404788
NCGC00261856-01,0.297531
NCGC00261342-01,0.000879
NCGC00261935-01,0.194482
NCGC00261069-01,0.294090
NCGC00261101-01,0.475495
NCGC00261183-01,0.000457
NCGC00261716-01,0.000073
NCGC00260742-01,0.003759
NCGC00261529-01,0.092246
NCGC00261170-01,0.123485
NCGC00261565-01,0.202881
NCGC00260990-01,0.500000
NCGC00261340-01,0.500000
NCGC00261079-01,0.252967
NCGC00261389-01,0.001134
NCGC00261744-01,0.000309
NCGC00261420-01,0.004860
NCGC00261215-01,0.000347
NCGC00261826-01,0.038658
NCGC00260706-01,0.077166
NCGC00261123-01,0.500000
NCGC00261367-01,0.001653
NCGC00261507-01,0.009600
