Chemical,Label
NCGC00261900-01,0.000048
NCGC00260869-01,0.014330
NCGC00261776-01,0.925254
NCGC00261842-01,0.000477
NCGC00261662-01,0.707851
NCGC00261926-01,0.619039
NCGC00260921-01,0.273391
NCGC00261119-01,0.618501
NCGC00260831-01,0.868063
NCGC00261544-01,0.004866
NCGC00261633-01,0.001096
NCGC00261395-01,0.613395
NCGC00261717-01,0.000001
NCGC00261424-01,0.002339
NCGC00261861-01,0.094375
NCGC00261924-01,0.062646
NCGC00261052-01,0.122599
NCGC00261683-01,0.417166
NCGC00261026-01,0.491406
NCGC00261057-01,0.032700
NCGC00261738-01,0.331242
NCGC00261348-01,0.000294
NCGC00261503-01,0.001250
NCGC00260693-01,0.000698
NCGC00260703-01,0.002557
NCGC00260716-01,0.012433
NCGC00260782-01,0.000149
NCGC00260802-01,0.002133
NCGC00260823-01,0.002027
NCGC00261313-01,0.000084
NCGC00260757-01,0.010089
NCGC00260826-01,0.018540
NCGC00261005-01,0.007120
NCGC00260980-01,0.005029
NCGC00261816-01,0.107927
NCGC00260698-01,0.000397
NCGC00260889-01,0.177949
NCGC00260811-01,0.024146
NCGC00261165-01,0.004730
NCGC00261060-01,0.000212
NCGC00261541-01,0.000395
NCGC00261649-01,0.000506
NCGC00261110-01,0.116415
NCGC00261130-01,0.023906
NCGC00260846-01,0.214245
NCGC00261030-01,0.112864
NCGC00261162-01,0.189856
NCGC00261058-01,0.177837
NCGC00261404-01,0.047350
NCGC00261423-01,0.104897
NCGC00261856-01,0.498393
NCGC00261342-01,0.017879
NCGC00261935-01,0.069506
NCGC00261069-01,0.166104
NCGC00261101-01,0.202321
NCGC00261183-01,0.000001
NCGC00261716-01,0.001013
NCGC00260742-01,0.003541
NCGC00261529-01,0.022048
NCGC00261170-01,0.184683
NCGC00261565-01,0.055760
NCGC00260990-01,0.874663
NCGC00261340-01,0.514158
NCGC00261079-01,0.053018
NCGC00261389-01,0.008475
NCGC00261744-01,0.001084
NCGC00261420-01,0.029854
NCGC00261215-01,0.004802
NCGC00261826-01,0.050659
NCGC00260706-01,0.020511
NCGC00261123-01,0.354778
NCGC00261367-01,0.030446
NCGC00261507-01,0.100844
NCGC00261169-01,0.008295
NCGC00261730-01,0.655023
NCGC00261624-01,0.027639
NCGC00261641-01,0.070634
NCGC00261853-01,0.080680
NCGC00260911-01,0.005887
NCGC00260798-01,0.006189
NCGC00261384-01,0.587170
NCGC00260785-01,0.323142
NCGC00261597-01,0.006812
NCGC00261025-01,0.037601
NCGC00260789-01,0.680894
NCGC00260866-01,0.900320
NCGC00261189-01,0.004142
NCGC00261270-01,0.747300
NCGC00261611-01,0.050379
NCGC00261160-01,0.406943
NCGC00261085-01,0.001832
NCGC00261817-01,0.725334
NCGC00261866-01,0.204189
NCGC00260852-01,0.612383
NCGC00261290-01,0.513363
NCGC00261304-01,0.398180
NCGC00261704-01,0.538284
NCGC00260850-01,0.058560
NCGC00260972-01,0.064990
NCGC00261364-01,0.003196
NCGC00261392-01,0.205397
NCGC00261638-01,0.724563
