Chemical,Label
NCGC00261900-01,0.042986
NCGC00260869-01,0.135334
NCGC00261776-01,0.220784
NCGC00261842-01,0.002915
NCGC00261662-01,0.500000
NCGC00261926-01,0.170353
NCGC00260921-01,0.256946
NCGC00261119-01,0.359167
NCGC00260831-01,0.415675
NCGC00261544-01,0.042119
NCGC00261633-01,0.000708
NCGC00261395-01,0.211171
NCGC00261717-01,0.000338
NCGC00261424-01,0.002259
NCGC00261861-01,0.026283
NCGC00261924-01,0.064712
NCGC00261052-01,0.073087
NCGC00261683-01,0.258191
NCGC00261026-01,0.171453
NCGC00261057-01,0.036511
NCGC00261738-01,0.130022
NCGC00261348-01,0.005963
NCGC00261503-01,0.003231
NCGC00260693-01,0.000488
NCGC00260703-01,0.001156
NCGC00260716-01,0.000924
NCGC00260782-01,0.001354
NCGC00260802-01,0.003882
NCGC00260823-01,0.000771
NCGC00261313-01,0.001067
NCGC00260757-01,0.012011
NCGC00260826-01,0.008572
NCGC00261005-01,0.005964
NCGC00260980-01,0.028996
NCGC00261816-01,0.033656
NCGC00260698-01,0.035306
NCGC00260889-01,0.065836
NCGC00260811-01,0.050238
NCGC00261165-01,0.007070
NCGC00261060-01,0.001209
NCGC00261541-01,0.007629
NCGC00261649-01,0.002481
NCGC00261110-01,0.117300
NCGC00261130-01,0.069357
NCGC00260846-01,0.079372
NCGC00261030-01,0.093147
NCGC00261162-01,0.240209
NCGC00261058-01,0.244677
NCGC00261404-01,0.023103
NCGC00261423-01,0.090032
NCGC00261856-01,0.251833
NCGC00261342-01,0.006109
NCGC00261935-01,0.048453
NCGC00261069-01,0.169265
NCGC00261101-01,0.179526
NCGC00261183-01,0.011341
NCGC00261716-01,0.002039
NCGC00260742-01,0.003091
NCGC00261529-01,0.059169
NCGC00261170-01,0.216138
NCGC00261565-01,0.159725
NCGC00260990-01,0.500000
NCGC00261340-01,0.489701
NCGC00261079-01,0.071400
NCGC00261389-01,0.010290
NCGC00261744-01,0.001531
NCGC00261420-01,0.022480
NCGC00261215-01,0.005255
NCGC00261826-01,0.026849
NCGC00260706-01,0.045498
NCGC00261123-01,0.436307
NCGC00261367-01,0.014941
NCGC00261507-01,0.016375
NCGC00261169-01,0.009934
NCGC00261730-01,0.124049
NCGC00261624-01,0.028895
NCGC00261641-01,0.040563
NCGC00261853-01,0.364191
NCGC00260911-01,0.036044
NCGC00260798-01,0.052763
NCGC00261384-01,0.173676
NCGC00260785-01,0.100487
NCGC00261597-01,0.020248
NCGC00261025-01,0.094400
NCGC00260789-01,0.491817
NCGC00260866-01,0.500000
NCGC00261189-01,0.010240
NCGC00261270-01,0.500000
NCGC00261611-01,0.021554
NCGC00261160-01,0.202768
NCGC00261085-01,0.009227
NCGC00261817-01,0.248033
