Chemical,Label
NCGC00261900-01,0.005013
NCGC00260869-01,0.350714
NCGC00261776-01,0.342267
NCGC00261842-01,0.011511
NCGC00261662-01,0.407398
NCGC00261926-01,0.215237
NCGC00260921-01,0.225448
NCGC00261119-01,0.244218
NCGC00260831-01,0.651802
NCGC00261544-01,0.005077
NCGC00261633-01,0.000691
NCGC00261395-01,0.402845
NCGC00261717-01,0.000027
NCGC00261424-01,0.005054
NCGC00261861-01,0.093711
NCGC00261924-01,0.021607
NCGC00261052-01,0.090983
NCGC00261683-01,0.413106
NCGC00261026-01,0.059256
NCGC00261057-01,0.048383
NCGC00261738-01,0.229907
NCGC00261348-01,0.009458
NCGC00261503-01,0.058235
NCGC00260693-01,0.004816
NCGC00260703-01,0.025743
NCGC00260716-01,0.013404
NCGC00260782-01,0.007472
NCGC00260802-01,0.012830
NCGC00260823-01,0.011368
NCGC00261313-01,0.001596
NCGC00260757-01,0.060331
NCGC00260826-01,0.049589
NCGC00261005-01,0.020509
NCGC00260980-01,0.007958
NCGC00261816-01,0.039204
NCGC00260698-01,0.006615
NCGC00260889-01,0.078221
NCGC00260811-01,0.033573
NCGC00261165-01,0.008759
NCGC00261060-01,0.007113
NCGC00261541-01,0.019167
NCGC00261649-01,0.006111
NCGC00261110-01,0.091852
NCGC00261130-01,0.034212
NCGC00260846-01,0.232715
NCGC00261030-01,0.133754
NCGC00261162-01,0.434094
NCGC00261058-01,0.282755
NCGC00261404-01,0.036926
NCGC00261423-01,0.169323
NCGC00261856-01,0.323157
NCGC00261342-01,0.002982
NCGC00261935-01,0.087268
NCGC00261069-01,0.191398
NCGC00261101-01,0.187081
NCGC00261183-01,0.001765
NCGC00261716-01,0.001128
NCGC00260742-01,0.001474
NCGC00261529-01,0.030665
NCGC00261170-01,0.187996
NCGC00261565-01,0.123803
NCGC00260990-01,0.570964
NCGC00261340-01,0.469544
NCGC00261079-01,0.028590
NCGC00261389-01,0.016011
NCGC00261744-01,0.002568
NCGC00261420-01,0.060655
NCGC00261215-01,0.008232
NCGC00261826-01,0.022728
NCGC00260706-01,0.045268
NCGC00261123-01,0.177066
NCGC00261367-01,0.042721
NCGC00261507-01,0.078488
NCGC00261169-01,0.003101
NCGC00261730-01,0.261434
NCGC00261624-01,0.040884
NCGC00261641-01,0.045382
NCGC00261853-01,0.190772
NCGC00260911-01,0.013672
NCGC00260798-01,0.024211
NCGC00261384-01,0.319494
NCGC00260785-01,0.067261
NCGC00261597-01,0.052696
NCGC00261025-01,0.085769
NCGC00260789-01,0.315575
NCGC00260866-01,0.714638
NCGC00261189-01,0.003204
NCGC00261270-01,0.448610
NCGC00261611-01,0.026247
NCGC00261160-01,0.036882
NCGC00261085-01,0.024894
NCGC00261817-01,0.125894
NCGC00261866-01,0.149758
NCGC00260852-01,0.528899
NCGC00261290-01,0.363752
NCGC00261304-01,0.068808
NCGC00261704-01,0.409923
NCGC00260850-01,0.063283
NCGC00260972-01,0.080482
NCGC00261364-01,0.006479
NCGC00261392-01,0.124055
NCGC00261638-01,0.358404
NCGC00261820-01,0.179074
NCGC00261808-01,0.191527
NCGC00260790-01,0.253888
NCGC00260940-01,0.374111
NCGC00261081-01,0.061213
NCGC00261133-01,0.635076
NCGC00261399-01,0.350506
NCGC00260696-01,0.382698
NCGC00261903-01,0.139469
NCGC00261178-01,0.064480
NCGC00261568-01,0.505806
NCGC00260830-01,0.111139
NCGC00261113-01,0.234337
NCGC00261327-01,0.218120
NCGC00261602-01,0.405309
NCGC00260858-01,0.473544
NCGC00261071-01,0.017826
NCGC00261076-01,0.103405
NCGC00261192-01,0.077317
NCGC00261495-01,0.002354
NCGC00261577-01,0.102425
NCGC00261510-01,0.086360
NCGC00261679-01,0.414896
NCGC00261941-01,0.679573
NCGC00261343-01,0.054812
NCGC00261607-01,0.376334
NCGC00261782-01,0.600732
NCGC00261914-01,0.024465
NCGC00261475-01,0.247025
