Chemical,Label
NCGC00257642-01,0
NCGC00159476-02,1
NCGC00259505-01,0
NCGC00163509-01,1
NCGC00254131-01,0
NCGC00254074-01,0
NCGC00258682-01,0
NCGC00256273-01,0
NCGC00254550-01,0
NCGC00256629-01,0
NCGC00257415-01,0
NCGC00016877-01,0
NCGC00258736-01,0
NCGC00015196-04,0
NCGC00168771-01,0
NCGC00094810-01,0
NCGC00016246-03,0
NCGC00258838-01,0
NCGC00255949-01,1
NCGC00254095-01,0
NCGC00016344-03,0
NCGC00260192-01,0
NCGC00258476-01,0
NCGC00253998-01,0
NCGC00094849-01,0
NCGC00258530-01,0
NCGC00160440-01,0
NCGC00015252-08,0
NCGC00256421-01,0
NCGC00095117-01,0
NCGC00258763-01,0
NCGC00258808-01,0
NCGC00255428-01,0
NCGC00160660-01,0
NCGC00255873-01,1
NCGC00259312-01,0
NCGC00258576-01,0
NCGC00260454-01,1
NCGC00256456-01,0
NCGC00260043-01,0
NCGC00095209-01,1
NCGC00256076-01,0
NCGC00255928-01,0
NCGC00167568-01,0
NCGC00257294-01,0
NCGC00255457-01,0
NCGC00258254-01,0
NCGC00259687-01,0
NCGC00013628-01,0
NCGC00259857-01,1
NCGC00258360-01,0
NCGC00260031-01,0
NCGC00182043-01,0
NCGC00260371-01,0
NCGC00255178-01,0
NCGC00255399-01,1
NCGC00017056-01,1
NCGC00016850-01,0
NCGC00024868-03,0
NCGC00255544-01,0
NCGC00259521-01,0
NCGC00255350-01,0
NCGC00259115-01,0
NCGC00164621-01,0
NCGC00258872-01,0
NCGC00255676-01,0
NCGC00095043-01,0
NCGC00260401-01,0
NCGC00254841-01,0
NCGC00254767-01,1
NCGC00255730-01,0
NCGC00254885-01,0
NCGC00259274-01,0
NCGC00256024-01,0
NCGC00257508-01,0
NCGC00182544-01,0
NCGC00016580-01,0
NCGC00016833-01,0
NCGC00256141-01,0
NCGC00259494-01,1
NCGC00260081-01,0
NCGC00016960-03,0
NCGC00257686-01,0
NCGC00188435-01,0
NCGC00259025-01,0
NCGC00183278-01,0
NCGC00254063-01,0
NCGC00258407-01,0
NCGC00256836-01,0
NCGC00256365-01,0
NCGC00256080-01,0
NCGC00015947-02,0
NCGC00257668-01,0
NCGC00257408-01,0
NCGC00015238-02,0
NCGC00255550-01,0
NCGC00259033-01,0
NCGC00258677-01,0
NCGC00255220-01,0
NCGC00095089-01,0
NCGC00016849-01,0
NCGC00255826-01,0
NCGC00255287-01,0
NCGC00164639-01,0
NCGC00159498-02,0
NCGC00259713-01,0
NCGC00256274-01,0
NCGC00258681-01,0
NCGC00160420-01,0
NCGC00260086-01,0
NCGC00160593-01,0
NCGC00091533-04,0
NCGC00093350-02,0
NCGC00015580-08,0
