Chemical,SMILES
NCGC00257642-01,CC=CCC#N
NCGC00159476-02,OC1=C(Br)C=C(Br)C=C1C(=O)NC2=CC=C(Br)C=C2
NCGC00259505-01,[O-][N+](=O)C1=CC(=C(Cl)C=C1)[N+]([O-])=O
NCGC00163509-01,[Na+].CN(C)C(=O)CCSC(SCCC([O-])=O)C1=CC(\C=C\C2=NC3=CC(Cl)=CC=C3C=C2)=CC=C1
NCGC00254131-01,Cl.CCOC(=O)COC1=CC2=C(CCC(C2)NCC(O)C3=CC(Cl)=CC=C3)C=C1
NCGC00254074-01,CN(C)C(Cl)=O
NCGC00258682-01,COC(=O)CS
NCGC00256273-01,CCC\C=C\CO
NCGC00254550-01,CCCCSP(=O)(SCCCC)SCCCC
NCGC00256629-01,Cl.OCCOCCN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(Cl)C=C3
NCGC00257415-01,O.O.[Na+].[O-]C1=NC(=O)N(Cl)C(=O)N1Cl
NCGC00016877-01,O=C(C1CCCCC1)N2CC3N(CCC4=C3C=CC=C4)C(=O)C2
NCGC00258736-01,COC(C)(C)C
NCGC00015196-04,C(OC1=C(C=CC=C1)C2CC2)C3=NCCN3
NCGC00168771-01,[Ca++].CC(C)CN(C[C@@H](OP([O-])([O-])=O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]2CCOC2)S(=O)(=O)C3=CC=C(N)C=C3
NCGC00094810-01,CC(=O)CC(C1=CC=CC=C1)C2=C(O)C3=CC=CC=C3OC2=O
NCGC00016246-03,ClC1=CC=C(NC(=N)NC(=N)NCCCCCCNC(=N)NC(=N)NC2=CC=C(Cl)C=C2)C=C1
NCGC00258838-01,CCC\C=C\C=O
NCGC00255949-01,CC1CN(NC1=O)C2=CC=CC=C2
NCGC00254095-01,CN1CCC[C@H]1C2=CN=CC=C2
NCGC00016344-03,NC1=CC=C(O)C(=C1)C(O)=O
NCGC00260192-01,F[B-](F)(F)F.CCN1C=C[N+](C)=C1
NCGC00258476-01,OC1=NC=NC2=C1C=NN2
NCGC00253998-01,CC1=CC2=CC=CN=C2C=C1
NCGC00094849-01,OC(=O)CN(CC(O)=O)CC1=CC2C(OC3=C(C=C(CN(CC(O)=O)CC(O)=O)C(O)=C3)C24OC(=O)C5=CC=CC=C45)=CC1=O
NCGC00258530-01,CCOP(Cl)(=S)OCC
NCGC00160440-01,OC(=O)CC1=CN(N=C1C2=CC=C(Cl)C=C2)C3=CC=CC=C3
NCGC00015252-08,CN1CCC(CC1)=C2C3=C(C=CC=C3)C=CC4=C2C=CC=C4
NCGC00256421-01,O=NN1CCCC1
NCGC00095117-01,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)C(C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC
NCGC00258763-01,OC1=CC2=C(OCO2)C=C1
NCGC00258808-01,CC1=C(N)C=CC=C1
